Sample	Tissue
GTEX.12ZZX.0011.R5a.SM.5HL89	Brain
GTEX.12ZZY.0011.R5a.SM.5EGL9	Brain
GTEX.1313W.0011.R5b.SM.5L3EP	Brain
GTEX.131YS.0011.R5b.SM.5K7YB	Brain
GTEX.139T8.0011.R5b.SM.5J1MO	Brain
GTEX.139TS.0011.R5b.SM.5J2MZ	Brain
GTEX.139TT.0011.R5b.SM.5K7W8	Brain
GTEX.139TU.0011.R5b.SM.5L3E1	Brain
GTEX.13CF2.0011.R5a.SM.5LZWS	Brain
GTEX.13CIG.0011.R5b.SM.5L3F2	Brain
GTEX.13CZV.0011.R5a.SM.5K7XA	Brain
GTEX.13FHO.0011.R5b.SM.5LZZ3	Brain
GTEX.13FHP.0011.R5b.SM.5LZY2	Brain
GTEX.13FLV.0011.R5a.SM.5LZWT	Brain
GTEX.13FLW.0011.R5a.SM.5LZX6	Brain
GTEX.13FXS.0011.R5b.SM.5LZYE	Brain
GTEX.13G51.0011.R5a.SM.5L3EB	Brain
GTEX.13IVO.0011.R5a.SM.5L3CY	Brain
GTEX.13JUV.0011.R5a.SM.5LZY5	Brain
GTEX.13JVG.0011.R5a.SM.5MR4O	Brain
GTEX.13N1W.0011.R5b.SM.5MR5Q	Brain
GTEX.13N2G.0011.R5a.SM.5MR33	Brain
GTEX.13NYB.0011.R5a.SM.5MR45	Brain
GTEX.13NYS.0011.R5a.SM.5MR4D	Brain
GTEX.13NZA.0011.R5b.SM.5KM4K	Brain
GTEX.13O3O.0011.R5b.SM.5KM44	Brain
GTEX.13O3Q.0011.R5b.SM.5P9H4	Brain
GTEX.13OVH.0011.R5b.SM.5KM4L	Brain
GTEX.13RTJ.0011.R5a.SM.5P9HR	Brain
GTEX.13S7M.0011.R5b.SM.5P9HS	Brain
GTEX.13SLW.0011.R5b.SM.5SI6Z	Brain
GTEX.13SLX.0011.R5a.SM.5O9BV	Brain
GTEX.13VXU.0011.R5a.SM.5O9D7	Brain
GTEX.13X6I.0011.R5a.SM.5PNWW	Brain
GTEX.13X6J.0011.R5b.SM.5PNWT	Brain
GTEX.13X6K.0011.R5b.SM.5PNUE	Brain
GTEX.1445S.0011.R5a.SM.5PNUS	Brain
GTEX.144GL.0011.R5b.SM.5PNUJ	Brain
GTEX.144GO.0011.R5a.SM.5PNUR	Brain
GTEX.145LS.0011.R5a.SM.5SI65	Brain
GTEX.11OF3.0011.R11a.SM.57WCR	Brain
GTEX.12ZZX.0011.R11a.SM.5DUVJ	Brain
GTEX.1313W.0011.R11a.SM.5DUXN	Brain
GTEX.131XH.0011.R11a.SM.5EGLN	Brain
GTEX.131XW.0011.R11a.SM.5DUV9	Brain
GTEX.131YS.0011.R11b.SM.5EGLM	Brain
GTEX.139TT.0011.R11b.SM.5LZV1	Brain
GTEX.139UW.0011.R11a.SM.5IJGN	Brain
GTEX.13CF2.0011.R11b.SM.5LZXO	Brain
GTEX.13CZV.0011.R11b.SM.5N9FN	Brain
GTEX.13FHO.0011.R11b.SM.5LZYQ	Brain
GTEX.13FHP.0011.R11b.SM.5LZXP	Brain
GTEX.13FLV.0011.R11a.SM.5LZZ7	Brain
GTEX.13FTY.0011.R11a.SM.5IJEA	Brain
