Sample	Tissue
GTEX.111CU.1126.SM.5EGIM	Skin
GTEX.11O72.0626.SM.5PNYE	Skin
GTEX.11OF3.0126.SM.5PNYF	Skin
GTEX.11P7K.1126.SM.5HL4L	Skin
GTEX.11P81.2226.SM.5PNYI	Skin
GTEX.11P82.1426.SM.5BC5L	Skin
GTEX.11PRG.0726.SM.5EGL1	Skin
GTEX.11TT1.1826.SM.5EQLV	Skin
GTEX.11TUW.0626.SM.5LU9M	Skin
GTEX.12BJ1.0926.SM.5EQ62	Skin
GTEX.12C56.1526.SM.5FQUQ	Skin
GTEX.12WSM.1926.SM.5BC65	Skin
GTEX.12WSN.1426.SM.5GCO6	Skin
GTEX.12ZZX.2426.SM.5GCOE	Skin
GTEX.13113.1626.SM.5EQ4I	Skin
GTEX.1313W.0626.SM.5EQ4H	Skin
GTEX.1314G.1326.SM.5BC6E	Skin
GTEX.131XE.1626.SM.5K7VO	Skin
GTEX.131XF.2626.SM.5EQ6K	Skin
GTEX.131XG.0326.SM.5L3DX	Skin
GTEX.131XH.0126.SM.5LZUY	Skin
GTEX.131XW.0626.SM.5PNVD	Skin
GTEX.139T8.0626.SM.5KLZX	Skin
GTEX.139TS.2126.SM.5K7XC	Skin
GTEX.139TT.2126.SM.5LZWC	Skin
GTEX.139TU.0726.SM.5L3EK	Skin
GTEX.139UW.0326.SM.5J1ML	Skin
GTEX.139YR.1026.SM.5LZYN	Skin
GTEX.13D11.0926.SM.5J2NC	Skin
GTEX.13FH7.1126.SM.5K7UG	Skin
GTEX.13FHO.0426.SM.5L3F5	Skin
GTEX.13FLV.0126.SM.5K7WT	Skin
GTEX.13FTW.0326.SM.5K7UW	Skin
GTEX.13FTX.1526.SM.5K7VJ	Skin
GTEX.13FTY.2126.SM.5IFFB	Skin
GTEX.13G51.1826.SM.5KLZH	Skin
GTEX.13IVO.0726.SM.5LZYV	Skin
GTEX.13JUV.2026.SM.5K7UA	Skin
GTEX.13JVG.0726.SM.5KM16	Skin
GTEX.13N11.2326.SM.5IJBF	Skin
GTEX.13N1W.2426.SM.5IJD1	Skin
GTEX.13N2G.0226.SM.5K7VF	Skin
GTEX.13NYB.0126.SM.5J1MD	Skin
GTEX.13NYC.0126.SM.5L3F4	Skin
GTEX.13NYS.0626.SM.5L3F1	Skin
GTEX.13NZ8.1226.SM.5KM4A	Skin
GTEX.13NZ9.2626.SM.5L3FK	Skin
GTEX.13O3O.2326.SM.5IJD6	Skin
GTEX.13O3Q.0126.SM.5KM34	Skin
GTEX.13O61.1426.SM.5KM3D	Skin
GTEX.13OVG.1626.SM.5J1NF	Skin
GTEX.13OVH.0526.SM.5L3E6	Skin
GTEX.13QJC.0126.SM.5ZZWJ	Skin
GTEX.13RTJ.0126.SM.5S2NN	Skin
GTEX.13SLW.0626.SM.5Q5ER	Skin
GTEX.13SLX.2226.SM.62LEP	Skin
GTEX.13U4I.2226.SM.5LU5H	Skin
GTEX.13VXT.1926.SM.5K7UO	Skin
GTEX.13VXU.0626.SM.5L3F9	Skin
GTEX.13W3W.0726.SM.5IJDQ	Skin
GTEX.13X6H.0926.SM.5SIB2	Skin
GTEX.13X6I.1826.SM.5SIAO	Skin
GTEX.13X6J.0626.SM.5LU5F	Skin
GTEX.13X6K.0626.SM.5LU5D	Skin
GTEX.13YAN.0226.SM.5TDC6	Skin
GTEX.144FL.0626.SM.5LU43	Skin
GTEX.144GL.0626.SM.5LU4D	Skin
GTEX.144GM.0526.SM.79OJO	Skin
GTEX.144GO.2026.SM.5O99P	Skin
GTEX.145LS.0626.SM.7EPG7	Skin
GTEX.145LT.0526.SM.5LUB2	Skin
GTEX.145LU.1926.SM.79OJN	Skin
GTEX.111FC.0126.SM.5N9DL	Skin
GTEX.11O72.0126.SM.59887	Skin
GTEX.11OC5.0126.SM.5HL6A	Skin
GTEX.11OF3.2626.SM.5GU7F	Skin
GTEX.11P7K.2126.SM.5GU7G	Skin
GTEX.11P81.2326.SM.59875	Skin
GTEX.11P82.1626.SM.59879	Skin
GTEX.11TT1.2526.SM.5EGIB	Skin
GTEX.11TTK.0126.SM.5987B	Skin
GTEX.11TUW.2726.SM.5EQLC	Skin
GTEX.12C56.1726.SM.5EQ61	Skin
GTEX.12KS4.0326.SM.5EQ41	Skin
GTEX.12WSN.5019.SM.79OM6	Skin
GTEX.12ZZX.0126.SM.5EGK9	Skin
GTEX.12ZZY.0226.SM.5LZVE	Skin
GTEX.13113.5016.SM.7EPIP	Skin
GTEX.1313W.0126.SM.5LZUN	Skin
GTEX.1314G.1526.SM.5EGK2	Skin
GTEX.131XE.2326.SM.5PNZ2	Skin
GTEX.131XF.2126.SM.5DUWS	Skin
GTEX.131XG.2626.SM.5KM17	Skin
GTEX.131XH.2226.SM.5DUXJ	Skin
GTEX.131XW.0426.SM.5LZWP	Skin
GTEX.131YS.0126.SM.5KM1M	Skin
GTEX.139T8.0126.SM.5K7XZ	Skin
GTEX.139TS.2826.SM.5J1OO	Skin
GTEX.139TT.0126.SM.5K7Y5	Skin
GTEX.139TU.0126.SM.5K7WH	Skin
GTEX.139UW.2826.SM.5L3E7	Skin
GTEX.13CF2.2526.SM.5LZYX	Skin
GTEX.13CF3.2426.SM.5IFGX	Skin
GTEX.13D11.2426.SM.5KM1V	Skin
GTEX.13FH7.2026.SM.5IJCR	Skin
GTEX.13FHO.0226.SM.5IFGY	Skin
GTEX.13FHP.0126.SM.5IJBG	Skin
GTEX.13FTW.2626.SM.5K7WL	Skin
GTEX.13FTX.1826.SM.5J1NX	Skin
GTEX.13FTY.0526.SM.5L3EV	Skin
GTEX.13FXS.0226.SM.5IJCK	Skin
GTEX.13G51.2526.SM.5LZYK	Skin
GTEX.13IVO.0126.SM.5J1NG	Skin
GTEX.13JUV.2726.SM.5LZZ8	Skin
GTEX.13N11.2526.SM.5K7UE	Skin
GTEX.13N1W.0126.SM.5K7VT	Skin
GTEX.13N2G.2626.SM.5J1OT	Skin
GTEX.13NYB.2526.SM.5K7Z6	Skin
GTEX.13NYC.0326.SM.5K7WP	Skin
GTEX.13NYS.0126.SM.5MR3W	Skin
GTEX.13NZ8.0826.SM.5MR3I	Skin
GTEX.13NZA.0226.SM.5K7Z7	Skin
GTEX.13NZB.2526.SM.5J1OM	Skin
GTEX.13O1R.0126.SM.5L3EH	Skin
GTEX.13O21.1426.SM.5K7XI	Skin
GTEX.13O3O.0126.SM.5KM4E	Skin
GTEX.13O3P.0126.SM.5KM4S	Skin
GTEX.13O3Q.2426.SM.5IJBR	Skin
GTEX.13OVG.1926.SM.5L3DK	Skin
GTEX.13OVH.0126.SM.5MR4B	Skin
GTEX.13RTJ.2426.SM.5S2Q2	Skin
GTEX.13RTK.1426.SM.5QGQJ	Skin
GTEX.13RTL.0126.SM.7LG5S	Skin
GTEX.13S7M.0126.SM.5SI6A	Skin
GTEX.13SLW.0126.SM.5SI6C	Skin
GTEX.13SLX.0526.SM.5S2ON	Skin
GTEX.13U4I.0126.SM.5LU38	Skin
GTEX.13VXT.0126.SM.5LU4I	Skin
GTEX.13VXU.0126.SM.5SI9F	Skin
GTEX.13W3W.2426.SM.5LU5B	Skin
GTEX.13W46.0226.SM.5SIAG	Skin
GTEX.13X6H.2126.SM.7EWD5	Skin
GTEX.13X6I.0626.SM.5QGP9	Skin
GTEX.13X6J.0126.SM.5QGOU	Skin
GTEX.13YAN.0326.SM.5O9DF	Skin
GTEX.144FL.0126.SM.5TDC8	Skin
GTEX.144GL.0126.SM.5TDE2	Skin
GTEX.144GN.2326.SM.5LU4F	Skin
GTEX.145LS.0126.SM.5QGP1	Skin
GTEX.145LT.1726.SM.5QGP3	Skin
GTEX.145LU.0126.SM.5TDCB	Skin
GTEX.145LV.2126.SM.5LU8N	Skin
GTEX.111CU.1326.SM.5NQ8L	Small Intestine
GTEX.11P7K.1626.SM.5GU63	Small Intestine
GTEX.11P82.0826.SM.5P9GU	Small Intestine
GTEX.12BJ1.1926.SM.5HL9Z	Small Intestine
GTEX.131XE.0926.SM.5HL7J	Small Intestine
GTEX.131XF.1326.SM.5GCMQ	Small Intestine
GTEX.131XG.1726.SM.5LZUR	Small Intestine
GTEX.139YR.2226.SM.5IFFW	Small Intestine
GTEX.13CF3.1226.SM.5LZXN	Small Intestine
GTEX.13D11.0726.SM.5LZZB	Small Intestine
GTEX.13FH7.1226.SM.5IJFK	Small Intestine
GTEX.13FTW.2026.SM.5IJE2	Small Intestine
GTEX.13NYB.1826.SM.5J1N3	Small Intestine
GTEX.13O21.1026.SM.5IJDU	Small Intestine
GTEX.13O61.1326.SM.5KM31	Small Intestine
GTEX.13RTK.0826.SM.5Q5C6	Small Intestine
GTEX.13W3W.2026.SM.5K7UL	Small Intestine
GTEX.13X6H.1826.SM.7EWCZ	Small Intestine
GTEX.144GM.1026.SM.79OKU	Small Intestine
GTEX.145LT.1026.SM.5LU9O	Small Intestine
GTEX.145ME.0926.SM.5O9AR	Small Intestine
GTEX.111CU.0426.SM.5GZY1	Spleen
GTEX.11P7K.0426.SM.5BC5H	Spleen
GTEX.11P81.1326.SM.5GU5S	Spleen
GTEX.12BJ1.0726.SM.5EGGF	Spleen
GTEX.12WSN.0126.SM.5DUX5	Spleen
GTEX.131XE.1126.SM.5EGHW	Spleen
GTEX.131XG.0426.SM.5IFGD	Spleen
GTEX.139YR.0426.SM.5IFFV	Spleen
GTEX.13CF3.0226.SM.5J1NW	Spleen
GTEX.13FH7.1326.SM.5IFG8	Spleen
GTEX.13N11.0126.SM.5KM2Z	Spleen
GTEX.13S86.0126.SM.5S2PI	Spleen
GTEX.13U4I.1626.SM.5IFFR	Spleen
GTEX.13VXT.1326.SM.5LU3Y	Spleen
GTEX.13X6H.0726.SM.5Q5BX	Spleen
GTEX.144GN.2126.SM.5O99D	Spleen
GTEX.111CU.0926.SM.5EGIK	Stomach
GTEX.11P7K.1726.SM.5GU6F	Stomach
GTEX.11P82.0726.SM.5PNYL	Stomach
GTEX.11TT1.0726.SM.5GU5A	Stomach
GTEX.12BJ1.1726.SM.5HL9B	Stomach
GTEX.12C56.0526.SM.5FQST	Stomach
GTEX.131XE.2226.SM.5PNYX	Stomach
GTEX.131XF.1226.SM.5HL8V	Stomach
GTEX.131XG.1226.SM.5EGH9	Stomach
GTEX.139YR.1926.SM.5LZXM	Stomach
GTEX.13CF3.1926.SM.5K7WF	Stomach
GTEX.13D11.2126.SM.5IFH2	Stomach
GTEX.13FH7.1026.SM.5IJGF	Stomach
GTEX.13FTW.1726.SM.5KM2B	Stomach
GTEX.13FTX.0726.SM.5N9BI	Stomach
GTEX.13N1W.2026.SM.5K7YU	Stomach
GTEX.13O21.0926.SM.5IFGT	Stomach
GTEX.13O3Q.2126.SM.5KM4C	Stomach
GTEX.13O61.1126.SM.5L3FI	Stomach
GTEX.13QJ3.2726.SM.5SI6L	Stomach
GTEX.13RTK.0226.SM.5RQHR	Stomach
GTEX.13S7M.1826.SM.5RQK6	Stomach
GTEX.13U4I.2526.SM.5SI8Z	Stomach
GTEX.13X6H.1626.SM.5Q5CT	Stomach
GTEX.13X6J.2126.SM.5TDCV	Stomach
GTEX.144GM.1726.SM.5O9AS	Stomach
GTEX.144GN.1226.SM.5O991	Stomach
GTEX.145LT.1426.SM.5O9B3	Stomach
GTEX.145ME.1026.SM.5O9B4	Stomach
GTEX.111CU.1726.SM.5EGHM	Testis
GTEX.11NV4.1726.SM.5N9FC	Testis
GTEX.11O72.0726.SM.5P9GO	Testis
GTEX.11OF3.1826.SM.5987N	Testis
GTEX.11ONC.2226.SM.5HL6D	Testis
GTEX.11P7K.1026.SM.5HL6Y	Testis
GTEX.11P82.1526.SM.5BC5M	Testis
GTEX.11TT1.2226.SM.5GU6B	Testis
GTEX.11TUW.2226.SM.5EQL9	Testis
GTEX.12BJ1.1326.SM.5BC5P	Testis
GTEX.12C56.1426.SM.5FQSW	Testis
GTEX.12WSM.1326.SM.5GCP9	Testis
GTEX.12ZZY.0126.SM.5LZV2	Testis
GTEX.131XE.0426.SM.5IJF4	Testis
GTEX.139T6.1226.SM.5IFFC	Testis
GTEX.139TS.1726.SM.5IJG5	Testis
GTEX.139TT.2226.SM.5LZWO	Testis
GTEX.13FHP.2826.SM.5IJFW	Testis
GTEX.13FLW.2126.SM.5N9FD	Testis
GTEX.13FTW.1326.SM.5LZZD	Testis
GTEX.13N1W.2626.SM.5IJEP	Testis
GTEX.13N2G.0126.SM.5N9DV	Testis
GTEX.13NYB.2226.SM.5MR58	Testis
GTEX.13NZA.2526.SM.5IJFX	Testis
GTEX.13NZB.2026.SM.5MR4M	Testis
GTEX.13O1R.0726.SM.5IJEI	Testis
GTEX.13O21.1226.SM.5J2MK	Testis
GTEX.13O61.2026.SM.5J2M6	Testis
GTEX.13OVH.0726.SM.5N9BU	Testis
GTEX.13VXU.0726.SM.5J2O7	Testis
GTEX.144GL.0726.SM.5LU4P	Testis
GTEX.144GM.0426.SM.5Q5C8	Testis
GTEX.144GN.1626.SM.5Q5BU	Testis
GTEX.145LT.0426.SM.5LUAP	Testis
GTEX.111CU.0226.SM.5GZXC	Thyroid
GTEX.11O72.2326.SM.5BC7H	Thyroid
GTEX.11OF3.0626.SM.5BC4Y	Thyroid
GTEX.11P7K.0226.SM.5986Z	Thyroid
GTEX.11P81.0126.SM.5HL5Y	Thyroid
GTEX.11P82.0226.SM.5HL4O	Thyroid
GTEX.11TT1.1126.SM.5P9GV	Thyroid
GTEX.11TTK.0826.SM.5N9EG	Thyroid
GTEX.11TUW.0226.SM.5LU8X	Thyroid
GTEX.12BJ1.0426.SM.5FQSO	Thyroid
GTEX.12WSN.0726.SM.5GCMS	Thyroid
GTEX.12ZZX.1226.SM.5EGHS	Thyroid
GTEX.1313W.0726.SM.5EGK1	Thyroid
GTEX.131XE.0126.SM.5LZVC	Thyroid
GTEX.131XF.1826.SM.5EGKG	Thyroid
GTEX.131XG.0226.SM.5IFG1	Thyroid
GTEX.131XH.0526.SM.5DUX7	Thyroid
GTEX.131YS.0726.SM.5P9G9	Small Intestine
GTEX.139TS.0126.SM.5K7XJ	Thyroid
GTEX.139UW.0126.SM.5KM1B	Thyroid
GTEX.139YR.1226.SM.5IFEU	Thyroid
GTEX.13CF3.0926.SM.5LZZC	Thyroid
GTEX.13D11.0226.SM.5LZXL	Thyroid
GTEX.13FH7.0126.SM.5KLZ1	Thyroid
GTEX.13FHO.0926.SM.5N9EW	Thyroid
GTEX.13FHP.0926.SM.5L3EC	Thyroid
GTEX.13FLV.0226.SM.5J2OF	Thyroid
GTEX.13FLW.0326.SM.5J2M4	Thyroid
GTEX.13FTW.0626.SM.5IFEX	Thyroid
GTEX.13FTY.0726.SM.5J2OH	Thyroid
GTEX.13FXS.0726.SM.5LZXJ	Thyroid
GTEX.13G51.1226.SM.5K7Z3	Thyroid
GTEX.13IVO.0926.SM.5KLZP	Thyroid
GTEX.13JVG.0926.SM.5IJE1	Thyroid
GTEX.13N11.1026.SM.5K7XQ	Thyroid
GTEX.13N1W.0826.SM.5MR5J	Thyroid
GTEX.13N2G.0726.SM.5MR38	Thyroid
GTEX.13NYB.0726.SM.5MR4J	Thyroid
GTEX.13NYC.2426.SM.5MR3K	Thyroid
GTEX.13NZ8.0226.SM.5J2OK	Thyroid
GTEX.13NZ9.1126.SM.5MR37	Thyroid
GTEX.13NZA.1026.SM.5MR48	Thyroid
GTEX.13O1R.0826.SM.5J2MB	Thyroid
GTEX.13O21.2226.SM.5MR3L	Thyroid
GTEX.13O3O.0926.SM.5KM1F	Thyroid
GTEX.13O3P.0726.SM.5J2OM	Thyroid
GTEX.13O3Q.0626.SM.5IJG1	Thyroid
GTEX.13O61.0226.SM.5KM52	Thyroid
GTEX.13OVG.0226.SM.5LU93	Thyroid
GTEX.13QJ3.0926.SM.73KX5	Thyroid
GTEX.13QJC.0826.SM.5RQKC	Thyroid
GTEX.13RTJ.0326.SM.5YYAE	Thyroid
GTEX.13RTK.0326.SM.5RQHS	Thyroid
GTEX.13S86.1126.SM.5RQJX	Thyroid
GTEX.13U4I.0526.SM.5LU59	Thyroid
GTEX.13VXT.0626.SM.5SIA1	Thyroid
GTEX.13VXU.0826.SM.5KLZ2	Thyroid
GTEX.13W46.0926.SM.5LU3T	Thyroid
GTEX.13X6H.0526.SM.5LU4Q	Thyroid
GTEX.13X6J.0826.SM.5LU32	Thyroid
GTEX.13YAN.0926.SM.5O9C3	Thyroid
GTEX.144GL.1226.SM.5O9A4	Thyroid
GTEX.144GM.0226.SM.5Q5CB	Thyroid
GTEX.144GO.0126.SM.5LUAO	Thyroid
GTEX.145LT.0226.SM.5S2QK	Thyroid
GTEX.145LU.0426.SM.5O9AH	Thyroid
GTEX.145ME.0126.SM.5S2QM	Thyroid
GTEX.1117F.2426.SM.5EGGH	Uterus
GTEX.11P81.1626.SM.5BC52	Uterus
GTEX.12ZZX.2126.SM.5LZVL	Uterus
GTEX.1313W.2826.SM.5P9G1	Uterus
GTEX.131XG.2026.SM.5GCN5	Uterus
GTEX.13D11.1226.SM.5IFGA	Uterus
GTEX.13FTX.1026.SM.5J2O5	Uterus
GTEX.13N11.1126.SM.5KM41	Uterus
GTEX.13S7M.1726.SM.5RQK3	Uterus
GTEX.13U4I.1926.SM.5LU39	Uterus
GTEX.13VXT.1626.SM.5IJES	Uterus
GTEX.13W3W.1426.SM.5LU56	Uterus
GTEX.145LS.2426.SM.5TDCZ	Uterus
GTEX.145ME.1326.SM.5O98Q	Uterus
GTEX.1117F.2526.SM.5GZY6	Vagina
GTEX.11P81.2126.SM.5HL6N	Vagina
GTEX.11TTK.2726.SM.5GU58	Vagina
GTEX.12ZZX.1926.SM.5EGKC	Vagina
GTEX.131XG.2126.SM.5DUXG	Vagina
GTEX.13D11.1326.SM.5IJFY	Vagina
GTEX.13N11.1526.SM.5L3FL	Vagina
GTEX.13U4I.2026.SM.5LU3L	Vagina
GTEX.13W3W.2326.SM.5LU4Y	Vagina
GTEX.145LS.2526.SM.5TDC9	Vagina
GTEX.145ME.1426.SM.5RQJS	Vagina
GTEX.11O72.0006.SM.5O9DB	Blood
GTEX.11OC5.0006.SM.5N9FA	Blood
GTEX.11OF3.0006.SM.5O9CM	Blood
GTEX.11ONC.0005.SM.5O9CY	Blood
GTEX.11P7K.0006.SM.5N9FM	Blood
GTEX.11P81.0006.SM.5NQ7A	Blood
GTEX.11P82.0006.SM.5N9FY	Blood
GTEX.11PRG.0005.SM.5NQ6X	Blood
GTEX.11TT1.0005.SM.5NQ8Y	Blood
GTEX.11TTK.0005.SM.5O9BX	Blood
GTEX.11TUW.0006.SM.5LZW2	Blood
GTEX.12BJ1.0006.SM.5SIB5	Blood
GTEX.12C56.0006.SM.5N9E9	Blood
GTEX.12KS4.0005.SM.5SI94	Blood
GTEX.12WSN.0006.SM.5NQAP	Blood
GTEX.12ZZW.0005.SM.5O9BY	Blood
GTEX.12ZZX.0005.SM.5O9A9	Blood
GTEX.1313W.0006.SM.5O9B1	Blood
GTEX.1314G.0005.SM.5NQ9O	Blood
GTEX.131XE.0006.SM.5P9F9	Blood
GTEX.131XF.0006.SM.5P9HK	Blood
GTEX.131XG.0006.SM.5O9CE	Blood
GTEX.131XH.0006.SM.5O98V	Blood
GTEX.131XW.0006.SM.5O9AO	Blood
GTEX.131YS.0005.SM.5NQAS	Blood
GTEX.139T8.0006.SM.5NQ6V	Blood
GTEX.139TS.0005.SM.5NQC1	Blood
GTEX.139TT.0006.SM.5O9CG	Blood
GTEX.139TU.0006.SM.5LZVN	Blood
GTEX.139UW.0005.SM.5NQ8U	Blood
GTEX.13CF2.0006.SM.5O99L	Blood
GTEX.13CF3.0006.SM.5N9ED	Blood
GTEX.13CIG.0006.SM.5P9HF	Blood
GTEX.13CZU.0005.SM.5LU8K	Blood
GTEX.13CZV.0006.SM.5P9IN	Blood
GTEX.13FTW.0005.SM.5LZVZ	Blood
GTEX.13FTX.0005.SM.5N9F6	Blood
GTEX.13FTY.0005.SM.5NQ78	Blood
GTEX.13FTZ.0005.SM.5NQ9N	Blood
GTEX.13FXS.0006.SM.5O99X	Blood
GTEX.13G51.0005.SM.5N9EP	Blood
GTEX.13JUV.0006.SM.5NQ97	Blood
GTEX.13O61.0005.SM.5O9AU	Blood
GTEX.13OVG.0005.SM.5P9HA	Blood
GTEX.13OVH.0005.SM.5P9HB	Blood
GTEX.13S7M.0005.SM.5NQ76	Blood
GTEX.13S86.0005.SM.5NQ7I	Blood
GTEX.13U4I.0006.SM.5N9CI	Blood
GTEX.13VXT.0005.SM.5N9F3	Blood
GTEX.13VXU.0006.SM.5N9FF	Blood
GTEX.13W3W.0005.SM.5SI9Y	Blood
